,Date,Time,No. of Transactions
416,2019-01-15,13:00:00,61
417,2019-01-15,13:15:00,59
418,2019-01-15,13:30:00,61
419,2019-01-15,13:45:00,64
420,2019-01-15,14:00:00,59
421,2019-01-15,14:15:00,56
422,2019-01-15,14:30:00,68
423,2019-01-15,14:45:00,50
424,2019-01-15,15:00:00,46
425,2019-01-15,15:15:00,57
426,2019-01-15,15:30:00,58
427,2019-01-15,15:45:00,36
428,2019-01-15,16:00:00,47
429,2019-01-15,16:15:00,47
430,2019-01-15,16:30:00,42
431,2019-01-15,16:45:00,39
432,2019-01-15,17:00:00,24
433,2019-01-15,17:15:00,23
434,2019-01-15,17:30:00,33
435,2019-01-15,17:45:00,19
436,2019-01-15,18:00:00,20
437,2019-01-15,18:15:00,15
438,2019-01-15,18:30:00,17
439,2019-01-15,18:45:00,8
440,2019-01-15,19:00:00,10
441,2019-01-15,19:15:00,15
442,2019-01-15,19:30:00,4
443,2019-01-15,19:45:00,3
444,2019-01-15,20:00:00,1
445,2019-01-15,20:15:00,4
446,2019-01-15,20:30:00,5
447,2019-01-15,20:45:00,2
448,2019-01-16,06:30:00,4
449,2019-01-16,07:00:00,8
450,2019-01-16,07:15:00,13
451,2019-01-16,07:30:00,12
452,2019-01-16,07:45:00,21
453,2019-01-16,08:00:00,29
454,2019-01-16,08:15:00,32
455,2019-01-16,08:30:00,20
456,2019-01-16,08:45:00,19
457,2019-01-16,09:00:00,41
458,2019-01-16,09:15:00,59
459,2019-01-16,09:30:00,77
460,2019-01-16,09:45:00,43
461,2019-01-16,10:00:00,50
462,2019-01-16,10:15:00,85
463,2019-01-16,10:30:00,93
464,2019-01-16,10:45:00,41
465,2019-01-16,11:00:00,66
466,2019-01-16,11:15:00,56
467,2019-01-16,11:30:00,102
468,2019-01-16,11:45:00,54
469,2019-01-16,12:00:00,56
470,2019-01-16,12:15:00,98
471,2019-01-16,12:30:00,108
472,2019-01-16,12:45:00,76
473,2019-01-16,13:00:00,78
474,2019-01-16,13:15:00,73
475,2019-01-16,13:30:00,88
476,2019-01-16,13:45:00,59
477,2019-01-16,14:00:00,47
478,2019-01-16,14:15:00,58
479,2019-01-16,14:30:00,67
480,2019-01-16,14:45:00,45
481,2019-01-16,15:00:00,41
482,2019-01-16,15:15:00,34
483,2019-01-16,15:30:00,68
484,2019-01-16,15:45:00,27
485,2019-01-16,16:00:00,38
486,2019-01-16,16:15:00,46
487,2019-01-16,16:30:00,59
488,2019-01-16,16:45:00,31
489,2019-01-16,17:00:00,42
